hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
LISTA DE RECURSOS A.P.U.,01797,"Curva de 90 c x e  1/2""",UN,TUBERIAS ,PAVCO S.A.,1236,1236,1236,1236,1236,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01798,"Curva de 90 c x e  3/4""",UN,TUBERIAS ,PAVCO S.A.,1973,1973,1973,1973,1973,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01799,"Curva de 90 c x e  1""",UN,TUBERIAS ,PAVCO S.A.,3739,3739,3739,3739,3739,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01800,"Curva de 90 c x e  1 1/4""",UN,TUBERIAS ,PAVCO S.A.,9400,9400,9400,9400,9400,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01801,"Curva de 90 c x e  1 1/2""",UN,TUBERIAS ,PAVCO S.A.,9526,9526,9526,9526,9526,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01802,"Curva de 90 c x e  2""",UN,TUBERIAS ,PAVCO S.A.,17590,17590,17590,17590,17590,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01803,"Curva de 90 c x e  3""",UN,TUBERIAS ,PROMEDIO,19900,19900,19900,19900,19900,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01806,"Unión de 3/4""",UN,TUBERIAS ,PAVCO S.A.,696,696,696,696,696,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01807,"Unión de 1""",UN,TUBERIAS ,PAVCO S.A.,1132,1132,1132,1132,1132,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01808,"Union de 1 1/4""",UN,TUBERIAS ,PROMEDIO,2150,2150,2150,2150,2150,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01809,"Union de 1 1/2""",UN,TUBERIAS ,PROMEDIO,3150,3150,3150,3150,3150,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01810,"Union de 2""",UN,TUBERIAS ,PROMEDIO,3990,3990,3990,3990,3990,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01813,"Adaptador terminal de 1/2""",UN,TUBERIAS ,PAVCO S.A.,476,476,476,476,476,,,,,,,,,,
LISTA DE RECURSOS A.P.U.,01823,Caja sencilla 103x60x45 mm,UN,TUBERIAS ,PAVCO S.A.,2630,2630,2630,2630,2630,,,,,,,,,,
